WKT,nama,deskripsi
"POINT (106.8229198 -6.1944491)",Jakarta,
"POLYGON ((106.7196559 -6.2099366, 106.7169093 -6.2235888, 106.7371654 -6.2256366, 106.7457484 -6.2338276, 106.7471217 -6.2491856, 106.7533015 -6.2502094, 106.7539882 -6.266932, 106.7508983 -6.272051, 106.7567347 -6.2744399, 106.7670344 -6.2884316, 106.7756175 -6.3068592, 106.7790507 -6.3167552, 106.8099498 -6.3157315, 106.7989634 -6.335523, 106.7996501 -6.3423474, 106.7917537 -6.349513, 106.7934703 -6.3648676, 106.8099498 -6.3638439, 106.8181895 -6.3546313, 106.8360423 -6.3546313, 106.8381022 -6.3467833, 106.8490886 -6.3365466, 106.856985 -6.352584, 106.8628215 -6.3563373, 106.8717479 -6.352584, 106.8734645 -6.3580434, 106.8837642 -6.370668, 106.9023036 -6.368962, 106.9067668 -6.3600906, 106.9126033 -6.3652088, 106.922903 -6.3276747, 106.9177531 -6.3225562, 106.921873 -6.3031055, 106.9150065 -6.2962805, 106.9108867 -6.2966217, 106.9081401 -6.2768288, 106.9095134 -6.2700034, 106.9043635 -6.2700034, 106.9050502 -6.259424, 106.91123 -6.2536222, 106.9170665 -6.2577176, 106.9184398 -6.2491856, 106.9256495 -6.2553286, 106.9438457 -6.2522571, 106.9483088 -6.221541, 106.9641017 -6.2126671, 106.9730281 -6.1822899, 106.9668483 -6.0440349, 106.7292689 -6.0395965, 106.7241191 -6.0897825, 106.7086696 -6.0962688, 106.6856669 -6.0966102, 106.6880702 -6.1065101, 106.6980266 -6.1116307, 106.6884135 -6.1157272, 106.6856669 -6.1345021, 106.6925334 -6.137233, 106.6853236 -6.1447427, 106.6884135 -6.16181, 106.6887568 -6.174098, 106.7162227 -6.1863858, 106.7172526 -6.1935536, 106.7254924 -6.191847, 106.7196559 -6.2099366))",Kota DKI Jakarta,
