WKT,nama,deskripsi
"POINT (110.3647568 -7.801367200000001)",Yogyakarta,
"POLYGON ((110.0278318 -7.8986373, 110.2063596 -7.9897648, 110.3395689 -8.0210427, 110.3574216 -8.0618363, 110.703491 -8.2032223, 110.8257139 -8.2073, 110.8298338 -8.1733179, 110.8174741 -8.1447707, 110.788635 -8.155646, 110.7776487 -8.0672752, 110.7570493 -8.0332812, 110.7900083 -7.8210951, 110.7749021 -7.8020475, 110.7625425 -7.8238162, 110.7172239 -7.7884415, 110.7103574 -7.803408, 110.6732786 -7.8020475, 110.6760252 -7.7816383, 110.6540525 -7.7966051, 110.5757749 -7.803408, 110.585388 -7.7884415, 110.5661619 -7.7816383, 110.5428159 -7.8006869, 110.4933775 -7.7639495, 110.4494321 -7.5366514, 110.3093565 -7.6509962, 110.2763975 -7.7067962, 110.2640379 -7.6891043, 110.2667844 -7.6401075, 110.2420652 -7.648274, 110.1486814 -7.6428297, 110.118469 -7.6673286, 110.1335752 -7.6863824, 110.1170957 -7.774835, 110.0607908 -7.8115714, 110.0278318 -7.8986373))",DIY Yogyakarta,
